HRR_ID,Name,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
1,"Birmingham, AL",4045.74,4277.25,4442.75,4548.94,4561.17,4957.12,4870.06,4795.67,4825.57,4615.82,4450.46,4379.06,4521.67
2,"Dothan, AL",3551.4,3784.68,3943.25,4249.77,4315.85,4480.22,4816.87,4718.16,4763.53,4578.97,4406.55,4328.34,4441.08
5,"Huntsville, AL",3714.87,3913.25,3878.37,4113.77,4415.93,4576.33,4508.2,4486.41,4485.71,4399.59,4249.79,4164.37,4211.13
6,"Mobile, AL",3735.79,4184.16,4223.77,4292.81,4472.8,4647.83,4689.49,4559.52,4510.24,4403.68,4288.61,4217.46,4252.79
7,"Montgomery, AL",3790.99,3991.74,4197.89,4069.29,4149.23,4624.44,4850.38,4508.74,4342.6,4278.19,4116.41,3992.13,4097.97
9,"Tuscaloosa, AL",4151.66,4171.56,4376.89,4630.5,4847.2,4962.05,4896.95,5022.51,4966.64,4727.56,4449.22,4423.74,4505.67
10,"Anchorage, AK",2377.58,2856.36,2644.12,3053.93,3134.17,3177.52,3483.28,3467.89,3370.71,3130.12,3085.62,3076.14,3091
11,"Mesa, AZ",2906.89,3446.54,3504.38,3691.09,3831.57,4039.19,4543.4,4565.61,4393.32,4299.11,4046.58,3979.65,3823.55
12,"Phoenix, AZ",3184.95,3255.62,3517.76,3666.02,3838.29,3963.42,4081.99,4143.7,4063.55,3855.86,3674.81,3646.05,3607.49
14,"Sun City, AZ",3142.38,3292.55,3593.69,3765.26,3675.98,3835.25,4136.01,4218.16,4283.65,3910.59,3666.13,3402.79,3445.83
15,"Tucson, AZ",2968.75,3280.44,3401.85,3489.51,3479.71,3871.27,3982.57,3843.39,3712.55,3653.1,3265.57,3331.22,3306.32
16,"Fort Smith, AR",3824.26,4132.07,4022.95,4203.43,4293.92,4489.06,4780.32,5090.34,5066.8,5001.06,5152.61,5130.11,5043.15
18,"Jonesboro, AR",3525.18,4416.24,4554.1,4594.29,4770.16,5057.4,5376.54,5237.68,5481.5,5415.3,5210.28,5373.59,5731.44
19,"Little Rock, AR",3942.32,4104.28,4276.04,4370.95,4636.54,4783.95,4774.43,4792.43,4898.2,4796.06,4576.93,4544.8,4610.85
21,"Springdale, AR",3312.09,3528.04,3926,4235.82,4158.23,4426.63,4440.33,4450.57,4481.43,4307.94,4093.54,4120.29,4047.35
22,"Texarkana, AR",4479.89,4666.43,4982.91,5247.71,5121.96,5653.63,5381.35,5499.79,5349.48,5363.44,5175.3,5111.47,5308.06
23,"Orange County, CA",3625.49,3744.23,4072.67,4141.5,4111.89,4500.16,4623.7,4800.95,4798.81,4620.12,4269.06,4084.21,4024.71
25,"Bakersfield, CA",3600.98,3570.31,3771.25,3807.45,3975.8,4328.91,4527.14,4623.73,4479.85,4228.86,3968.67,3910.46,4017.7
31,"Chico, CA",3065.99,3222.79,3337.01,3252.99,3454.2,4047.05,4064.93,4286.85,4143.98,4161.38,4039.24,4009.21,4011.38
33,"Contra Costa County, CA",3156.44,3352.22,3602.64,3922.16,3932.66,4344.76,4206.43,4255.41,4125.72,4060.74,3492.11,3501,3549.34
43,"Fresno, CA",2959.38,3166.01,3514.32,3468.01,3631.24,3779.94,3775.66,4110.69,4004.7,3831.97,3602.95,3537.53,3643.64
56,"Los Angeles, CA",4135.4,4235.73,4492.07,4682.44,4795.59,5163.84,5549.55,5674.93,5851.31,5633.69,5396.01,5049.74,5015.25
58,"Modesto, CA",4027.89,2908.13,3162.03,3353.63,3728.02,3798.07,4028.04,4109.39,3974.53,3820.58,3658.98,3755.74,3838.49
